ID,Created,QA Name,Agent ID,Operation,Customer Account Number,Interaction Number,Interaction Type,Date of Interaction,Time of Interaction,Was the Value of the credit accurate?,How much compensation WAS given by the Agent?,How much compensation SHOULD the Agent have given?,What Credit Code was used?,Was the Credit Code used correctly?,What credit code should have been used?,Were credit rules followed as per Support?,Failure reasons,Commentary for Credit adherence,Appealed?,What was appealed?,Tech M Appeal Comments,Initial Appeal Decision,Reasons for Initial Appeal Outcome Decision,Re-appeal?,Re-appeal comments,Final UK Position,Final UK Position commentary,Object ID/Title of Process,What have we amended from orignal audit?,Created_Date,Credit_given,Credit_Amount_Correct
11,08/05/2024 15:58,employee_3,75379,Complaints,107496719,00G7DN5E4GA5B62FQEM362LAES0F43A7,Voice,03/05/2024,14:36:00,Yes,50,50,Correctional-Activation Delay,no - wrong code used,Goodwill-Add-ons / Extras,Yes,"[""N/A - No Fails""]","Aligned with the credit - Customer was mis-informed about Roaming in Turkey which led to Daily Roaming passes being purchased from this information given on 20/03/2024. (Manage Team)

Wrong Credit code used - B2C - Delayed Access to Services.

Support Article - Billing queries (Amdocs B2C) - Plan and Add-On 
Drop Down - Customer says higher bill is due to an error made by Three staff member.

Support Article states: Investigate and look for evidence that we’ve made an error (e.g. Amdocs Interactions, call listening or chat transcripts).

If you find evidence to show that we’ve made an error, you can offer the customer a credit for the amount they were overcharged by raising the following case to Billing Analysis.

Case Type Level 1: Billing Queries/Issues.
Case Type Level 2: CC Billing Error Correction.
Case Type Level 3: CC Billing Error Correction
Note: Billing Analysis will investigate the usage/charges on the customer’s account.

Empowerment Used - Against Policy

Policy states to raise a case to BA - agent has stepped outside of policy to provide a resolution.",No,,,,,,,,,,,08/05/2024,50.0,50.0
12,08/05/2024 16:02,employee_15,11008,DF Payment Support,985866349,01R76FLGCCA5B43MBUM362LAES0F1SMI,Voice,02/05/2024,13:22:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]","Scenario:

Customer had cancelled the DDI and had not realised that he’d incur an additional charge due to this. He was unhappy about this and requested we restart the DDI and waive the charge. Agent checked with TM. No previous charge had been waived, so this was agreed.

Are we aligned or not aligned with the applied credit? Yes
Is there a support article that supports the credit being applied? Yes - Service Credit Empowerment (Amdocs B2C - Services) 

•	“If the customer isn’t happy due to any other scenario and you’re able to gauge that by offering a GWG credit up to £20 will avoid the call/chat being transferred to the Complaints team, follow the below process.“

If unaligned, what aspect was unaligned? – N/A
Was any empowerment used? – N/A – process used as normal (though they did speak with the TL)",No,,,,,,,,,,,08/05/2024,5.0,5.0
13,09/05/2024 08:55,employee_18,89311,Manage,987484439,00G7DN5E4GA5B62FQEM362LAES0F6DME,Voice,05/05/2024,11:30:00,,10,10,Goodwill-Out Of Bundle Usage,yes,Goodwill-Poor Service – Agent,Yes,"[""N/A - No Fails""]","Are we aligned or not aligned with the applied credit –  
Aligned with Credit as this is applied as customer has been given the incorrect Data Add-On and wanted more. Agent applies the credit to cover the cost of the additional Data Add-On which is provided. Customer uses complaint language and agent uses this to prevent the complaint.

Is there a support article that supports the credit being applied – 
Support Article - Object ID 205185

Which part of the article supports the decision – 
Service Credit Empowerment. 

Support Article - Object ID 205185 advises that SMS should be sent to customer to confirm this and this was not sent. Agent should also advise this is a goodwill credit by reading the verbatim statement. 

Wrong Credit code used also. 

Empowement - N/A",Yes,"[""Credit Code accuracy""]",Code Adherence - Customer was disputing the extra  / incorrect charges on the bill as it falls under manage billing dispute the code used is correct,Remains Unjustified,"Code - the incorrect code was used by the Agent, the Agent used ""OOB"" code, but this credit has been applied as goodwill.",Yes,Unable to validate this code on amdocs as it not visible,Overturned,No code found,,"Changed code to ""Yes""",09/05/2024,10.0,10.0
14,09/05/2024 10:29,employee_18,89832,Manage,958403513,337fc0e0-0b9b-4e44-9ab2-30e0c2f108fd,Webchat,02/05/2024,11:45:00,,10,10,Process-Network Maintenance,no - wrong code used,Goodwill-Poor Service-Three,Yes,"[""N/A - No Fails""]","Template:
Are we aligned or not aligned with the applied credit?
Yes
Customer was offered a credit as a resolution to the Complaint but was not applied as not accepted. Customer contact us to accept the credit. 

Is there a support article that supports the credit being applied?
Managing Complaints (Amdocs B2C - Rest of the CC)

Which part of the article supports the decision?
Customer Considering resolution
If the customer wants to think about the offer/resolution provided, update the Case with the status Customer Considering Resolution by following this process.
Tell them:
•	I'll leave a note with the resolution offered on your complaint-follow this process .
•	Today we have offered you £XXXX credit/£XXX monthly recurring discount for XXXX (Repeat the reason for the customers complaint) and can confirm this credit/discount has been added to your account. The credit offered will show up on your next bill, and if you're on Direct Debit, it’ll automatically be included in your next payment.


Was any empowerment used?
N/A - Process followed.",No,,,,,,,,,,,09/05/2024,10.0,10.0
15,09/05/2024 11:18,employee_18,89837,Tech,984701575,01R76FLGCCA5B43MBUM362LAES0F34VG,Voice,03/05/2024,10:26:00,,4.25,4.25,Process-Network Fault - Site,yes,Process-Network Fault - Site,Yes,"[""N/A - No Fails""]","Scenario:
Customer has ongoing issues with the Service. 
Resolve Ran and CP2 is applicable here. 

Are we aligned or not aligned with the applied credit –  
Aligned. 
Resolve Ran and CP2 is applicable in this scenario. Previous LR credit has expired so this is applicable here. 
Correct code used and information provided to customer. 

Is there a support article that supports the credit being applied – 
Object ID 219801

Which part of the article supports the decision – 
“ If the customer's issue has occurred less than 3 times and has been going on for less than 28 days offer a line rental credit.
If the customer has experienced multiple issues within the same postcode area (at least 3 issues within the last 3 months) follow CP3 or CP4, depending on whether the fix date is available on Resolve.”",No,,,,,,,,,,,09/05/2024,4.25,4.25
16,09/05/2024 12:31,employee_14,88072,Billing,970152593,00G7DN5E4GA5B62FQEM362LAES0ERDPS,Voice,28/04/2024,09:36:00,,10,10,Goodwill-Poor Service-Three,yes,Goodwill-Poor Service-Three,Yes,"[""N/A - No Fails""]","Not advised re charge so refund given as goodwill.
Are we aligned or not aligned with the applied credit?-Aligned.
Is there a support article that supports the credit being applied?Support - Managing billing disputes (Amdocs B2C) -ID 208119.
Which part of the article supports the decision?
Support - Managing billing disputes (Amdocs B2C) -ID 208119.
If unaligned, what aspect was unaligned? N/A
Was any empowerment used? N/A",No,,,,,,,,,,,09/05/2024,10.0,10.0
17,09/05/2024 13:53,employee_18,88005,Tech,980749274,860a3be4-3232-4552-a6d0-3ad9df42c167,Webchat,06/05/2024,19:17:00,,16.36,16.36,Process-Network Maintenance,yes,Process-Network Fault - Site,Yes,"[""N/A - No Fails""]","Scenario:

Customer has ongoing issues with the Service. 
Resolve Ran and CP6 is applicable here. 

Are we aligned or not aligned with the applied credit – 
 
Aligned. Resolve Ran and CP6 is applicable in this scenario. 
No fix date in place for the issue so 1mth LR credit applied. 
Correct code used and information provided to customer. 

Is there a support article that supports the credit being applied – 
Object ID 219811

Which part of the article supports the decision – 
2
For Mobile, SIM, and Mobile Broadband offer 50% line rental up until the fix date shown on Resolve, and if the date isn't available, offer 1 month line rental from today's date",No,,,,,,,,,,,09/05/2024,16.36,16.36
18,09/05/2024 13:55,employee_15,80029,DF Payment Support,945150518,01R76FLGCCA5B43MBUM362LAES0F1S47,Voice,02/05/2024,13:15:00,,25.01,25.01,Goodwill-International Charges,yes,Goodwill-International Charges,Yes,"[""N/A - No Fails""]","Scenario:

Customer had been on holiday in Egypt. He’d checked if he’d be able to use his phone abroad. He was told that he could use it free of charge. This was incorrect and the customer had incurred charges of £50.02 from roaming.

Are we aligned or not aligned with the applied credit? Yes (aligned)

Is there a support article that supports the credit being applied? Yes - Billing disputes. 

Step 3 on this process covers this:

If the customer is disputing for the first time, check the amount the customer is disputing and follow the relevant steps.

You are empowered to offer up to £100 in order to resolve the customer's disputed charge.
If customer is not happy and wants to escalate as their OOB charge is above £60, you can offer max £100.

Use the calculator/tool to get the correct amount of credit to be applied on the customer’s account.
There is a table which confirms that the customer can be offered 50% then 100%. The customer received 50% of the charge. There have also not been any previous charge waivers.

If unaligned, what aspect was unaligned? – N/A

Was any empowerment used? – N/A – process used as normal.",No,,,,,,,,,,,09/05/2024,25.01,25.01
19,09/05/2024 14:14,employee_18,86094,Billing,963968699,00CMKDLLS0A5B6L71UM362LAES1JRKMV,Voice,03/05/2024,08:33:00,,22.6,22.6,Correctional-Package Correction,yes,Correctional-Out Of Bundle Usage,Yes,"[""N/A - No Fails""]","Scenario:
Customer unhappy with the charges on his account from OOB usage whilst in Saudi Arabia. 
Customer disputes this and wanted the money credited. 

Are we aligned or not aligned with the applied credit –  
Aligned. 
Agent offers credit to cover the cost. Customer disputing the charges and wants to cancel. Agent uses Empowerment and offers credit to cover 50% of the charges. 

Is there a support article that supports the credit being applied – 
Object ID 208119

Which part of the article supports the decision – 
OOB charges between £10.01 - £60	Step1: Negotiate and offer up to 50% of disputed amount
Step 2: If the customer doesn't agree, offer a one-off credit up to £60 of the disputed amount	OOB/ETB Charge: £60
Eligible refund:
Step 1: £30
Step 2: £60",No,,,,,,,,,,,09/05/2024,22.6,22.6
20,09/05/2024 14:15,employee_14,88402,Welcome,959545661,00G7DN5E4GA5B62FQEM362LAES0ERV7Q,Voice,28/04/2024,17:16:00,,10,10,Process-Network Fault - Site,yes,Process-Network Fault - Site,Yes,"[""N/A - No Fails""]","Credit applied as per site fault.
Are we aligned or not aligned with the applied credit?-Aligned.
Is there a support article that supports the credit being applied? Coverage Policy - Welcome & Manage (Amdocs B2C)Object ID 221747
Which part of the article supports the decision?
Support - Coverage Policy - Welcome & Manage (Amdocs B2C)Object ID 221747
If unaligned, what aspect was unaligned? N/A
Was any empowerment used? N/A",No,,,,,,,,,,,09/05/2024,10.0,10.0
21,09/05/2024 14:28,employee_18,87827,Billing,929018545,25368768-102e-4735-98d7-9d9c4bb246c5,Webchat,05/05/2024,14:38:00,,27.62,27.62,Goodwill-Out Of Bundle Usage,yes,Goodwill-Out Of Bundle Usage,Yes,"[""N/A - No Fails""]","Scenario:
Customer unhappy with the charges on his account from OOB usage whilst in roaming. 
Customer advised they never used the Data and wanted Three to cover some of the cost. 

Are we aligned or not aligned with the applied credit –  
Aligned. 
Agent offers credit to cover the cost. Customer disputing the charges and wants Three to cover some of the cost since they have been with Three for so long. Agent uses Empowerment and offers credit to cover 50% of the charges. 

Is there a support article that supports the credit being applied – 
Object ID 208119

Which part of the article supports the decision – 
OOB charges between £10.01 - £60	Step1: Negotiate and offer up to 50% of disputed amount
Step 2: If the customer doesn't agree, offer a one-off credit up to £60 of the disputed amount	OOB/ETB Charge: £60
Eligible refund:
Step 1: £30
Step 2: £60",No,,,,,,,,,,,09/05/2024,27.62,27.62
22,10/05/2024 09:30,employee_14,90134,Manage,958479459,00CMKDLLS0A5B6L71UM362LAES1ITGTM,Voice,28/04/2024,17:54:00,,28.06,28.06,Goodwill-Out Of Bundle Usage,yes,Goodwill-Out Of Bundle Usage,Yes,"[""N/A - No Fails""]","Credit for OOB charges.
Are we aligned or not aligned with the applied credit?-Aligned.
Is there a support article that supports the credit being applied?Support - Managing billing disputes (Amdocs B2C) -ID 208119.
Which part of the article supports the decision?
Support - Managing billing disputes (Amdocs B2C) -ID 208119.
If unaligned, what aspect was unaligned? N/A
Was any empowerment used? N/A",No,,,,,,,,,,,10/05/2024,28.06,28.06
23,10/05/2024 10:59,employee_14,76434,Welcome,986830539,01R76FLGCCA5B43MBUM362LAES0ENU71,Voice,25/05/2024,18:57:00,,10,10,Goodwill-Poor Service-Three,yes,Goodwill-Poor Service-Three,Yes,"[""N/A - No Fails""]","Credit for mis/lack of information.
Are we aligned or not aligned with the applied credit?-Aligned.
Is there a support article that supports the credit being applied?Support - Managing billing disputes (Amdocs B2C) -ID 208119.
Which part of the article supports the decision?
Support - Managing billing disputes (Amdocs B2C) -ID 208119.
If unaligned, what aspect was unaligned? N/A
Was any empowerment used? N/A",No,,,,,,,,,,,10/05/2024,10.0,10.0
24,10/05/2024 16:11,employee_15,88273,DF Payment Support,100643252,01R76FLGCCA5B43MBUM362LAES0F038H,Voice,01/05/2024,12:51:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]","Scenario:
Customer was unhappy that she was charged the £5 non-DDI fee. This wasn’t a Three error, but was also not the customer’s intent. Advisor has agreed to refund, as per the process.

Are we aligned or not aligned with the applied credit? Yes
Is there a support article that supports the credit being applied? Yes - Service Credit Empowerment (Amdocs B2C - Services)
The customer is looking for a refund of less than £20 and the advisor is empowered to do so as there are no previous non-DDI charge refunds.

If unaligned, what aspect was unaligned? – N/A
Was any empowerment used? – N/A – process used as normal.",No,,,,,,,,,,,10/05/2024,5.0,5.0
25,13/05/2024 09:14,employee_14,83039,Billing,100669177,00CMKDLLS0A5B6L71UM362LAES1ITETC,Voice,28/04/2024,16:52:00,,60,60,Goodwill-Roaming Charges,yes,Goodwill-Roaming Charges,Yes,"[""N/A - No Fails""]","OOB Charges Credit.
Are we aligned or not aligned with the applied credit?-Aligned.
Is there a support article that supports the credit being applied?Support - Managing billing disputes (Amdocs B2C) -ID 208119.
Which part of the article supports the decision?
Support - Managing billing disputes (Amdocs B2C) -ID 208119.
If unaligned, what aspect was unaligned? N/A
Was any empowerment used? N/A",No,,,,,,,,,,,13/05/2024,60.0,60.0
26,13/05/2024 13:54,employee_2,88673,Airtime Payment Support,982914556,00CMKDLLS0A5B6L71UM362LAES1KOV1T,Voice,09/05/2024,00:15:04,,5,5,Goodwill-Direct Debit Fee,yes,N/A - Credit Code Correct,Yes,"[""N/A - No Fails""]","Scenario:
Customer was unhappy that he was charged the £5 non-DDI fee. Error appears to be from Three's side through agent-led failure. Advisor has agreed to refund, as per the process.

Are we aligned or not aligned with the applied credit? Aligned.
Is there a support article that supports the credit being applied? Yes - Service Credit Empowerment (Amdocs B2C - Services)/Managing recurring payment discount disputes (Amdocs – B2C)
The customer is looking for a refund of less than £20 and the advisor is empowered to do so as there are no previous non-DDI charge refunds. Also first time the customer has expressed dissatisfaction about this charge so either article would hold water for applying the credit.

If unaligned, what aspect was unaligned? – N/A
Was any empowerment used? – N/A – process used as normal.",No,,,,,,,,,,,13/05/2024,5.0,5.0
27,13/05/2024 15:57,employee_6,88005,Tech,954880716,c816071c-aad6-4349-ac2c-8b8cd5c108e7,Webchat,03/05/2024,16:07:32,,89.54,89.54,Process-Network Fault - Site,yes,Process-Network Fault - Site,Yes,"[""N/A - No Fails""]","Are we aligned or not aligned with the applied credit? Aligned with applied credit.
Is there a support article that supports the credit being applied? Yes
Which part of the article supports the decision? Object ID 219811 – CP6 – 1 month line rental credit applied.
If unaligned, what aspect was unaligned? n/a
Was any empowerment used? n/a",No,,,,,,,,,,,13/05/2024,89.54,89.54
28,14/05/2024 08:54,employee_2,41394,Airtime Payment Support,983674330,00CMKDLLS0A5B6L71UM362LAES1LCA95,Voice,13/05/2024,00:11:22,,5,5,Goodwill-Direct Debit Fee,yes,N/A - Credit Code Correct,Yes,"[""N/A - No Fails""]","Scenario:
Customer was unhappy about the non-DDI charge and asks the agent on more than one occasion if the charge can be waived or removed as a gesture of goodwill. Agent then consults and gets permission from TL to apply the £5 credit. Arguably, agent could have resisted the approach from the customer and been firmer to avoid the credit but does *just* meet the criteria for being acceptable to apply it.

Are we aligned or not aligned with the applied credit? Aligned.
Is there a support article that supports the credit being applied? Yes - Service Credit Empowerment (Amdocs B2C - Services)/Managing recurring payment discount disputes (Amdocs – B2C)
The customer is looking for a refund of less than £20 and the advisor is empowered to do so as there are no previous non-DDI charge refunds. Also first time the customer has expressed dissatisfaction about this charge so either article would hold water for applying the credit.

If unaligned, what aspect was unaligned? – N/A
Was any empowerment used? – N/A – process used as normal.",No,,,,,,,,,,,14/05/2024,5.0,5.0
29,14/05/2024 11:08,employee_17,81718,Airtime Payment Support,114304250,00G7DN5E4GA5B62FQEM362LAES0FEL92,Voice,10/05/2024,16:37:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]","Scenario: 
Customer was unhappy with £5 DD charges as they believed this had been set up previously and requested that this be waived. This isn’t a Three error, but the customer also advised they hadn’t cancelled the DD. Advisor agreed to refund the charge as per the process.
 
Are we aligned or not aligned with the applied credit? Aligned
Is there a support article that supports the credit being applied? Yes - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Which part of the article supports the decision? Section 4.1 ‘Offer the customer £5 credit to their account.’

If unaligned, what aspect was unaligned? NA
Was any empowerment used? NA – process followed correctly.",No,,,,,,,,,,,14/05/2024,5.0,5.0
30,14/05/2024 13:04,employee_18,86547,Tech,957106444,b4bde252-9c33-4abc-b88e-cbac5ed4a00f,Webchat,12/05/2024,17:32:00,,15,15,Goodwill-Poor Service-Three,yes,Goodwill-Poor Service-Three,Yes,"[""N/A - No Fails""]","Scenario
Customer contacts Three to organise Spend Cap on the account. Spend Cap cannot be set due to order not going through and 24 hour SLA for fix given. 

Are we aligned or not aligned with the applied credit?
Aligned.

Is there a support article that supports the credit being applied?
Object ID 205185 – Goodwill Empowerment. 

Which part of the article supports the decision?
High Impact: Repeat contact to the CC leading to customer dis-satisfaction and major financial impact or harm.
Examples could be - (This isn’t an exhaustive list but for guidance only)
o	Spend cap not set up as promised (Depending on the charges incurred)


Was any empowerment used?
N/A - Process followed.",No,,,,,,,,,,,14/05/2024,15.0,15.0
31,14/05/2024 13:15,employee_18,87182,Billing,983883343,a1f5951d-6c16-4008-b889-017f6fd90d81,Webchat,12/05/2024,10:29,,19.54,19.54,Goodwill-Out Of Bundle Usage,yes,Goodwill-Out Of Bundle Usage,Yes,"[""N/A - No Fails""]","Scenario:
Customer was abroad with their family, on a Cruise. Advised her son had the phone and did not know what he was doing as he is very young. 
OOB charges accumulated for one instance. 

Template:
Are we aligned or not aligned with the applied credit?
Aligned. 

Is there a support article that supports the credit being applied?
Object ID 208119 – Managing Billing Disputes

Which part of the article supports the decision?
First time disputing any OOB charges. 

OOB charges between £10.01 - £60	Step1: Negotiate and offer up to 50% of disputed amount
Step 2: If the customer doesn't agree, offer a one-off credit up to £60 of the disputed amount	OOB/ETB Charge: £60



Empowerment Used: 
N/A – Process followed.",No,,,,,,,,,,,14/05/2024,19.54,19.54
